0,nabicie
3,wszyscy dzwonek na boku bębna
12,połowa lewej ręki Agaty
16,tumby bum bum bum
20,cała lewa ręka Agaty
24,congi bum bum bum
28,quinta bum bum bum
32,manewr Ksawerego - dzyń dzyń dzyń
36,manewr Ksawerego - całość
40,cała ręka Agaty i WSZYSCY
48,"PRZERWA, Agata bum bum bum"
49,WSZYSCY
65,bez dzwonków (Agata bum bum bum)
69,bez tumb
71,bez cong
73,quinta coraz głośniej
77,Przeszkadzajki: Adam grzechotka
79,Ania
81,Tosia
83,Lilka
85,Iza
87,Jarek
89,manewr Ksawerego - dzyń dzyń dzyń
93,manewr Ksawerego - całość
97,delegacja conga
101,delegacja tumba
105,"wszyscy, Agata zmienia bas"
121,odwijamy przeszkadzajki - bez Jarka
123,bez Izy
125,bez Liki
127,bez Tosi
129,bez Ani
131,Agata bas + dzwonek i WSZYSCY
147,bębny się wyciszają do zera
155,"Adam, cała Agata, cały Ksawery"
163,"Adam, Agata sam bęben, Ksawery sam bęben"
171,sam Adam
175,koniec